Index,orderid,Customer Name,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_month,shipdate_year,preparationtime
0,1,Muhammed MacIntyre,First Class,825.174,9,0.3,-117.882,Corporate,Central,Illinois,Bookcases                                         ,Furniture,4,Sonntag,9,2016,6,9,2016,2
1,2,Ruben Dartt,Standard Class,411.332,4,0.15,-4.8392,Consumer,West,California,Bookcases                                         ,Furniture,5,Freitag,9,2014,9,9,2014,4
2,3,Liz Pelletier,Same Day,411.332,4,0.15,-4.8392,Home Office,West,California,Bookcases                                         ,Furniture,28,Donnerstag,11,2013,28,11,2013,0
3,4,Liz Pelletier,First Class,241.96,2,0.0,33.8744,Consumer,South,Louisiana,Bookcases                                         ,Furniture,30,Montag,5,2016,31,5,2016,1
4,5,Liz Pelletier,Standard Class,341.96,2,0.0,78.6508,Home Office,East,Rhode Island,Bookcases                                         ,Furniture,31,Dienstag,12,2013,7,1,2014,7
5,6,Liz Pelletier,First Class,359.058,3,0.3,-35.9058,Home Office,Central,Illinois,Bookcases                                         ,Furniture,24,Montag,3,2014,27,3,2014,3
6,7,Julie Creighton,Same Day,136.784,1,0.2,5.1294,Consumer,East,New York,Bookcases                                         ,Furniture,5,Freitag,6,2015,5,6,2015,0
7,8,Julie Creighton,Standard Class,1025.88,6,0.0,235.9524,Corporate,East,Delaware,Bookcases                                         ,Furniture,19,Dienstag,11,2013,25,11,2013,6
8,9,Sample Company A,Standard Class,290.666,2,0.15,27.3568,Corporate,West,California,Bookcases                                         ,Furniture,26,Sonntag,5,2013,30,5,2013,4
9,10,Tamara Dahlen,Second Class,145.74,3,0.0,23.3184,Consumer,South,Louisiana,Bookcases                                         ,Furniture,6,Samstag,8,2016,10,8,2016,4
10,11,Arthur Gainer,Standard Class,102.018,7,0.7,-183.6324,Consumer,West,Colorado,Bookcases                                         ,Furniture,19,Montag,12,2016,23,12,2016,4
11,12,Jonathan Doherty,Standard Class,194.32,4,0.0,31.0912,Corporate,Central,Michigan,Bookcases                                         ,Furniture,21,Sonntag,9,2014,27,9,2014,6
12,13,Jonathan Doherty,Second Class,155.456,4,0.2,-7.7728,Consumer,South,Florida,Bookcases                                         ,Furniture,8,Donnerstag,8,2013,10,8,2013,2
13,14,Helen Wasserman,Second Class,48.58,1,0.0,7.7728,Consumer,West,Washington,Bookcases                                         ,Furniture,30,Freitag,1,2015,1,2,2015,2
14,15,Helen Wasserman,Standard Class,77.728,2,0.2,-3.8864,Consumer,South,North Carolina,Bookcases                                         ,Furniture,15,Mittwoch,6,2016,19,6,2016,4
15,16,Keith Dawkins,Standard Class,212.94,3,0.0,57.4938,Home Office,Central,Michigan,Bookcases                                         ,Furniture,14,Freitag,6,2013,20,6,2013,6
16,17,Craig Yedwab,Standard Class,638.82,9,0.0,172.4814,Consumer,South,Arkansas,Bookcases                                         ,Furniture,19,Montag,8,2013,26,8,2013,7
17,18,Pauline Chand,Standard Class,321.568,2,0.2,-16.0784,Consumer,East,New York,Bookcases                                         ,Furniture,24,Donnerstag,11,2016,1,12,2016,7
18,19,Roy Collins,First Class,409.9992,3,0.32,-96.4704,Consumer,Central,Texas,Bookcases                                         ,Furniture,29,Mittwoch,6,2016,30,6,2016,1
19,20,Roy Collins,Standard Class,956.6648,7,0.32,-225.0976,Corporate,Central,Texas,Bookcases                                         ,Furniture,28,Montag,9,2015,4,10,2015,6
20,21,Roy Collins,Standard Class,301.47,3,0.5,-204.9996,Consumer,East,Pennsylvania,Bookcases                                         ,Furniture,16,Samstag,8,2014,20,8,2014,4
21,22,Emily Phan,Standard Class,956.6648,7,0.32,-225.0976,Consumer,Central,Texas,Bookcases                                         ,Furniture,6,Freitag,11,2015,10,11,2015,4
22,23,Emily Phan,Second Class,241.96,2,0.0,24.196,Corporate,Central,Wisconsin,Bookcases                                         ,Furniture,14,Freitag,8,2015,19,8,2015,5
23,24,Michael Dominguez,Standard Class,205.666,2,0.15,-12.098,Consumer,West,California,Bookcases                                         ,Furniture,30,Samstag,3,2013,4,4,2013,5
24,25,Anne Pryor,First Class,616.998,6,0.15,-36.294,Corporate,West,California,Bookcases                                         ,Furniture,28,Montag,10,2013,31,10,2013,3
25,26,Valerie Takahito,Standard Class,308.499,3,0.15,-18.147,Corporate,West,California,Bookcases                                         ,Furniture,12,Freitag,4,2013,17,4,2013,5
26,27,Justin Hirsh,First Class,514.165,5,0.15,-30.245,Home Office,West,California,Bookcases                                         ,Furniture,10,Freitag,6,2016,13,6,2016,3
27,28,Maria Zettner,Standard Class,205.666,2,0.15,-12.098,Consumer,West,California,Bookcases                                         ,Furniture,4,Freitag,12,2015,8,12,2015,4
28,29,Maria Zettner,Standard Class,290.352,3,0.2,-36.294,Consumer,South,Florida,Bookcases                                         ,Furniture,20,Donnerstag,11,2014,27,11,2014,7
29,30,Brad Thomas,Standard Class,102.833,1,0.15,-6.049,Consumer,West,California,Bookcases                                         ,Furniture,16,Samstag,4,2016,20,4,2016,4
30,31,Penelope Sewall,Standard Class,362.94,3,0.0,36.294,Consumer,East,Maryland,Bookcases                                         ,Furniture,20,Freitag,9,2013,24,9,2013,4
31,32,Bart Folk,First Class,120.98,1,0.0,12.098,Consumer,East,New Jersey,Bookcases                                         ,Furniture,18,Sonntag,10,2015,21,10,2015,3
32,33,Bart Folk,First Class,523.26,9,0.0,125.5824,Consumer,South,Virginia,Bookcases                                         ,Furniture,16,Mittwoch,4,2014,18,4,2014,2
33,34,Bart Folk,First Class,87.21,3,0.5,-45.3492,Consumer,East,Pennsylvania,Bookcases                                         ,Furniture,7,Donnerstag,7,2016,9,7,2016,2
34,35,Karen Ferguson,Standard Class,186.048,4,0.2,9.3024,Corporate,East,New York,Bookcases                                         ,Furniture,20,Donnerstag,11,2014,25,11,2014,5
35,36,Karen Ferguson,Second Class,148.257,3,0.15,15.6978,Home Office,West,California,Bookcases                                         ,Furniture,9,Freitag,12,2016,11,12,2016,2
36,37,Matt Abelman,Second Class,174.42,3,0.0,41.8608,Consumer,West,Washington,Bookcases                                         ,Furniture,11,Samstag,6,2016,13,6,2016,2
37,38,Peter Fuller,First Class,90.882,3,0.7,-190.8522,Corporate,West,Colorado,Bookcases                                         ,Furniture,11,Sonntag,10,2015,13,10,2015,2
38,39,Erin Creighton,Standard Class,623.4648,7,0.32,-119.1918,Corporate,Central,Texas,Bookcases                                         ,Furniture,6,Freitag,5,2016,11,5,2016,5
39,40,Erin Creighton,Second Class,222.666,2,0.15,10.4784,Consumer,West,California,Bookcases                                         ,Furniture,9,Samstag,11,2013,11,11,2013,2
40,41,Sean Braxton,First Class,89.0664,1,0.32,-17.0274,Home Office,Central,Texas,Bookcases                                         ,Furniture,18,Donnerstag,2,2016,20,2,2016,2
41,42,Liz Willingham,Second Class,127.764,6,0.7,-191.646,Consumer,West,Arizona,Bookcases                                         ,Furniture,14,Montag,7,2014,19,7,2014,5
42,43,Liz Willingham,Standard Class,193.0656,4,0.32,-19.8744,Consumer,Central,Texas,Bookcases                                         ,Furniture,20,Donnerstag,6,2013,24,6,2013,4
43,44,Liz Willingham,Standard Class,681.408,12,0.2,42.588,Consumer,East,New York,Bookcases                                         ,Furniture,30,Sonntag,11,2014,4,12,2014,4
44,45,Sonia Sunley,Second Class,212.94,3,0.0,53.235,Corporate,Central,Missouri,Bookcases                                         ,Furniture,14,Donnerstag,1,2016,19,1,2016,5
45,46,Paul Lucas,First Class,354.9,5,0.0,88.725,Consumer,South,Georgia,Bookcases                                         ,Furniture,9,Donnerstag,4,2015,12,4,2015,3
